system:index,blue,green,landcover,latitude,longitude,ndvi,ndwi,nir,red,swir1,swir2,.geo
1_21_0,8976,10064,1,31.24776241080494,30.187840207072316,0.3027324,-0.283344,18022,9646,12667,10003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22_0,9026,10246,1,31.28468316898225,30.334175766855388,0.28782865,-0.28688753,18490,10225,14184,11000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23_0,8716,9479,1,31.49866186965952,30.867505551037148,0.13835329,-0.13575856,12457,9429,10901,9388,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24_0,9026,10224,1,31.545553927490563,31.132418728323994,0.2879306,-0.29150063,18637,10304,14450,11875,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,11629,12888,2,30.592621074096574,31.50270428843806,0.058092535,-0.10266318,15837,14098,17370,16438,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_0,12473,14880,2,30.596932987460345,31.66520952333528,0.07244636,-0.13799097,19644,16990,21250,19875,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,10795,12629,2,31.24587594870829,32.29447937986101,0.0812306,-0.118548244,16026,13618,17266,16504,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3_0,10835,11842,2,31.265010064260036,32.307684614537564,0.06447947,-0.08524197,14049,12347,14268,13555,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4_0,12875,14943,2,31.30705121955683,32.16404400060685,0.052916843,-0.105156,18455,16600,21391,18833,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5_0,12454,14445,2,31.41242360238405,31.81235356687406,0.043277133,-0.085325316,17140,15718,19264,18525,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6_0,12993,14148,2,31.462010606067444,31.78055320581623,0.019301262,-0.052346025,15711,15116,17250,16823,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7_0,13131,15165,2,31.442606995930465,31.668982447528585,0.053500958,-0.10404112,18687,16789,21197,20544,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8_0,16085,19519,2,31.439912050078107,31.517526490626032,0.034117155,-0.09266705,23506,21955,24397,22077,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9_0,12412,13807,2,31.18604815078593,29.902984430478018,0.036438294,-0.07444277,16028,14901,17026,16368,"{""type"":""MultiPoint"",""coordinates"":[]}"
